영업상태명,상세영업상태코드,상세영업상태명,전화번호,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y),점포구분명
영업/정상,1,정상영업,02-2268-6691,,서울특별시 중구 동호로37길 20 (방산동),100812,방산종합시장,그 밖의 대규모점포,200002.9527,451823.5325,대규모점포
영업/정상,1,정상영업,02-2256-3500,,서울특별시 중구 다산로 32 (신당동),100754,남산타운5상가,그 밖의 대규모점포,200984.7137,449703.2398,대규모점포
영업/정상,1,정상영업,02-2232-2000,,서울특별시 중구 마장로1길 28 (신당동),100887,아트프라자,그 밖의 대규모점포,201070.9794,451874.6375,
영업/정상,1,정상영업,27644766,,서울특별시 종로구 종로44길 14 (창신동),110842,동문시장,시장,200908.3984,452025.3465,
영업/정상,1,정상영업,02)2281-7003,서울특별시 성동구 행당동 346번지 행당 한진타운 종합상가,서울특별시 성동구 행당로 84 행당 한진타운 종합상가 (행당동),4717,한진종합상가,그 밖의 대규모점포,202511.1429,450401.3037,
영업/정상,1,정상영업,02-2256-3500,,서울특별시 중구 다산로 32 (신당동),100754,남산타운2상가,그 밖의 대규모점포,200984.7137,449703.2398,대규모점포
영업/정상,1,정상영업,02-2073-5111,,서울특별시 중구 장충단로 13-20 (을지로6가),100851,현대시티타워,쇼핑센터,,,대규모점포
영업/정상,1,정상영업,24348546,서울특별시 중랑구 망우3동 410번지 1호,서울특별시 중랑구 용마산로 494 (망우동),131806,홈플러스(주)익스프레스 망우점,그 밖의 대규모점포,208781.9994,454740.6269,
영업/정상,1,정상영업,02-2079-0950,,서울특별시 중구 퇴계로 123 (충무로2가),100861,하이해리엇,그 밖의 대규모점포,198636.2504,451005.7216,대규모점포
영업/정상,1,정상영업,02-727-1471,서울특별시 중구 회현동1가 204번지 메사빌딩,서울특별시 중구 남대문시장10길 2 (회현동1가메사빌딩),,신세계백화점메사점,쇼핑센터,198129.4355,450900.2397,대규모점포
영업/정상,1,정상영업,02-2230-8200,서울특별시 중구 신당1동 213번지 8호,서울특별시 중구 마장로1길 22 (신당동),,올레오,쇼핑센터,201040.3526,451852.1426,대규모점포
영업/정상,1,정상영업,02-2269-1969,서울특별시 중구 을지로6가 17번지,서울특별시 중구 장충단로13길 20 (을지로6가),100726,통일상가,그 밖의 대규모점포,200613.5103,451817.5154,대규모점포
영업/정상,1,정상영업,02-2290-5853,,서울특별시 중구 다산로 56 제지2층 제비203호 (신당동 남산정은스카이아파트),4597,롯데쇼핑(주)롯데슈퍼신당점,그 밖의 대규모점포,200611.6813,449633.1352,준대규모점포
영업/정상,1,정상영업,02-778-5603,서울특별시 중구 충무로1가 25번지 8호,서울특별시 중구 명동8나길 47 (충무로1가),,롯데쇼핑(주)롯데슈퍼명동점,그 밖의 대규모점포,198364.6318,450975.9504,준대규모점포
영업/정상,1,정상영업,02-772-3871,,서울특별시 중구 남대문로 81 (소공동),100721,롯데백화점 본점,백화점,198259.6536,451392.1982,대규모점포
영업/정상,1,정상영업,02-7262500,서울특별시 중구 봉래동2가 122번지 11호,서울특별시 중구 한강대로 405 (봉래동2가),,롯데아울렛 서울역점,쇼핑센터,197230.2061,450446.6844,대규모점포
영업/정상,1,정상영업,02-2238-4352,서울특별시 중구 신당1동 777번지,서울특별시 중구 마장로1길 21 (신당동),,(주)광희패션몰,그 밖의 대규모점포,200982.7091,451817.384,대규모점포
영업/정상,1,정상영업,02-2006-2156,,서울특별시 중구 다산로 32 (신당동),100450,(주)지에스리테일 남산타운점,그 밖의 대규모점포,200984.7137,449703.2398,준대규모점포
영업/정상,1,정상영업,02-3393-1500,서울특별시 중구 을지로6가 18번지 185호,서울특별시 중구 장충단로 263 (을지로6가),100762,밀리오레,그 밖의 대규모점포,200664.5829,451781.8684,대규모점포
영업/정상,1,정상영업,02-6365-5959,,서울특별시 중구 남대문로 30 (남창동),100804,굳앤굳 디자이너월드,그 밖의 대규모점포,198079.6943,450952.1745,대규모점포
영업/정상,1,정상영업,22370620,서울특별시 중구 신당동 772호,서울특별시 중구 장충단로 282-10 (신당동),,남평화상가(주),그 밖의 대규모점포,200894.4785,451877.0808,대규모점포
영업/정상,1,정상영업,3455-3721,서울특별시 중구 남창동 51번지 1호,서울특별시 중구 남창동 51번지 1호,,숭례문상가,그 밖의 대규모점포,197831.0027,450794.3148,대규모점포
영업/정상,1,정상영업,02-759-6550,서울특별시 중구 소공동 1번지,서울특별시 중구 을지로 30 (소공동 롯데호텔),4533,호텔롯데아케이드,그 밖의 대규모점포,198259.6536,451392.1982,대규모점포
영업/정상,1,정상영업,02-390-4015,서울특별시 중구 봉래동2가 120번지 11호,서울특별시 중구 한강대로 405 (봉래동2가),100162,롯데아울렛 서울역점,쇼핑센터,197364.6268,450397.3696,
영업/정상,1,정상영업,02-2292-8545,서울특별시 성동구 금호동1가 481번지 5호,서울특별시 성동구 행당로 6 (금호동1가),133091,홈플러스(주) 익스프레스 금호점,구분없음,201772.8071,450250.3664,
영업/정상,1,정상영업,222526744,,서울특별시 중구 마장로 13 (신당동),100837,제일평화시장,그 밖의 대규모점포,200938.5281,451798.0031,
영업/정상,1,정상영업,2238-0981,서울특별시 중구 신당1동 773번지,서울특별시 중구 마장로 3 (신당동),,맥스타일,구분없음,200863.5941,451837.4816,
영업/정상,1,정상영업,2265-9611,,서울특별시 중구 장충단로13길 34 (을지로6가),100850,동화상가,그 밖의 대규모점포,200543.7549,451888.0403,대규모점포
영업/정상,1,정상영업,02-6366-3056,,서울특별시 중구 을지로45길 62 (신당동),100822,누죤,그 밖의 대규모점포,201092.2812,451637.9327,대규모점포
영업/정상,1,정상영업,02-3396-1657,,서울특별시 중구 장충단로 275 (을지로6가),100730,두타몰,그 밖의 대규모점포,200703.6256,451836.4583,대규모점포
영업/정상,1,정상영업,02-756-7536,,서울특별시 중구 남대문시장8길 7 (남창동),100804,삼익패션타운,그 밖의 대규모점포,198091.2021,450913.3407,대규모점포
영업/정상,1,정상영업,02-2237-2503,,서울특별시 중구 을지로45길 72 (신당동),100822,디자이너크럽,그 밖의 대규모점포,201075.6067,451683.0178,대규모점포
영업/정상,1,정상영업,02-757-3421,,서울특별시 중구 명동8가길 27 (충무로2가),100860,선싸인,그 밖의 대규모점포,198737.5538,451081.8946,대규모점포
영업/정상,1,정상영업,02-2250-1115,,서울특별시 중구 마장로1길 18 (신당동),100887,혜양엘리시움,그 밖의 대규모점포,201047.8997,451814.3504,대규모점포
영업/정상,1,정상영업,02-757-3541,,서울특별시 중구 소월로 9 (남창동),100804,남정종합상가,그 밖의 대규모점포,197843.8207,450717.3536,대규모점포
영업/정상,1,정상영업,02-777-1163,,서울특별시 중구 을지로 276 (을지로7가 apMPLACE),4565,에이피엠플레이스,쇼핑센터,200673.0115,451443.2799,대규모점포
영업/정상,1,정상영업,02-2290-7125,,서울특별시 중구 마장로 22 (신당동 DDP FASHION MALL),4566,DDP FASHION MALL,그 밖의 대규모점포,200999.3562,451654.4182,대규모점포
영업/정상,1,정상영업,02-2006-3215,,서울특별시 중구 만리재로 175 401동 91011호 (만리동2가),4500,지에스수퍼마켓 중구만리점,구분없음,,,준대규모점포
영업/정상,1,정상영업,757 3541,,서울특별시 중구 퇴계로85길 22 (황학동),4576,서울중앙시장,그 밖의 대규모점포,201680.0675,451610.9622,대규모점포
영업/정상,1,정상영업,6388-1100,서울특별시 중구 을지로6가 18번지 35호,서울특별시 중구 장충단로 253 (을지로6가),100951,헬로우에이피엠,그 밖의 대규모점포,200649.7767,451689.7852,대규모점포
영업/정상,1,정상영업,02   4118500,서울특별시 중구 봉래동2가 122호,서울특별시 중구 청파로 426 (봉래동2가),100162,롯데쇼핑(주)롯데마트서울역점,대형마트,197243.2153,450655.1042,대규모점포
영업/정상,1,정상영업,222328082,서울특별시 중구 신당1동 217번지 91호,서울특별시 중구 청계천로 334 (신당동),,청평화시장,그 밖의 대규모점포,201250.877,451908.7738,대규모점포
영업/정상,1,정상영업,02 7712500,서울특별시 중구 남대문로2가 123호,서울특별시 중구 남대문로 67 (남대문로2가),,롯데쇼핑본점영플라자,백화점,198315.5327,451248.1416,대규모점포
영업/정상,1,정상영업,02 22320040,서울특별시 중구 신당동 193번지 2 호,서울특별시 중구 다산로 293 (신당동),,디오트,그 밖의 대규모점포,201236.0315,451872.4094,대규모점포
폐업,3,폐업처리,27980401,서울특별시 용산구 이촌동 300번지 27  호,서울특별시 용산구 이촌로 224 (이촌동),,한강상가,시장,197450.2776,446437.1979,대규모점포
영업/정상,1,정상영업,02-2290-1234,서울특별시 중구 황학동 2545번지,서울특별시 중구 청계천로 400-0 (황학동),100899,주식회사 이마트 청계천점,대형마트,201823.909,452076.8187,
영업/정상,1,정상영업,02-2048-8231,서울특별시 중구 황학동 2545번지,서울특별시 중구 청계천로 400 (황학동),,베네치아메가몰,그 밖의 대규모점포,201823.909,452076.8187,대규모점포
영업/정상,1,정상영업,02-318-8322,서울특별시 중구 명동2가 31번지 1호,서울특별시 중구 명동8길 27 (명동2가 엠 플라자),4536,엠플라자(M plaza),쇼핑센터,198619.3882,451135.7403,대규모점포
영업/정상,1,정상영업,02-2118-8700,서울특별시 중구 을지로6가 18번지 21호 굿모닝시티쇼핑몰,서울특별시 중구 장충단로 247 (을지로6가굿모닝시티쇼핑몰),,굿모닝시티 쇼핑몰,쇼핑센터,200573.6413,451621.0365,대규모점포
영업/정상,1,정상영업,3783-5204,서울특별시 중구 명동2가 83번지 5호,서울특별시 중구 명동길 14 (명동2가),,눈스퀘어,그 밖의 대규모점포,198418.7417,451237.1686,대규모점포
휴업,2,휴업처리,222005000,서울특별시 중구 을지로7가 105호   ,서울특별시 중구 을지로 276 (을지로7가),,라모도 쇼핑몰,그 밖의 대규모점포,200673.0115,451443.2799,
폐업,3,폐업처리,02-392-5786,,서울특별시 중구 서소문로6길 34 (중림동),100858,합동시장,그 밖의 대규모점포,197037.3688,450812.9397,대규모점포
폐업,3,폐업처리,222739909,,서울특별시 중구 마른내로 140 (쌍림동),100400,(주)심풍유통,그 밖의 대규모점포,200247.4451,451352.512,대규모점포
폐업,3,폐업처리,02-2048-4800,,서울특별시 중구 남대문로 84 (남대문로2가),100092,케레스타,그 밖의 대규모점포,198421.6477,451369.5459,대규모점포
폐업,3,폐업처리,02-3782-0114,,서울특별시 중구 세종대로9길 58-12 (서소문동),100737,대한통운마트,그 밖의 대규모점포,,,대규모점포
폐업,3,폐업처리,02-2290-1052,,서울특별시 중구 청계천로 400 (황학동),100440,신세계 이마트 청계천점,그 밖의 대규모점포,202011.8001,452413.4129,대규모점포
폐업,3,폐업처리,02-3783-5055,,서울특별시 중구 명동길 14 (명동2가),100810,아바타,그 밖의 대규모점포,198418.7417,451237.1686,대규모점포
폐업,3,폐업처리,02-364-1277,,서울특별시 중구 칠패로 5 (의주로2가),100142,서소문화훼종합물류센터,그 밖의 대규모점포,197263.0683,450957.8472,대규모점포
폐업,3,폐업처리,02-2230-3222,,서울특별시 중구 동호로 249 (장충동2가),100856,호텔신라아케이트,그 밖의 대규모점포,200632.9855,450610.6109,대규모점포
폐업,3,폐업처리,02-2128-5067,,서울특별시 중구 남대문시장10길 2 (회현동1가),100881,메사,그 밖의 대규모점포,198129.4355,450900.2397,대규모점포
취소/말소/만료/정지/중지,4,직권취소,02-2124-1510,서울특별시 중구 충무로1가 24번지 1호,서울특별시 중구 퇴계로 115 (충무로1가 밀레오레 명동),4536,밀리오레명동,그 밖의 대규모점포,198562.6327,450975.1164,대규모점포
취소/말소/만료/정지/중지,4,직권취소,02-2200-5000,,서울특별시 중구 을지로 276 (을지로6가),100196,라모도쇼핑몰,그 밖의 대규모점포,200673.0115,451443.2799,대규모점포
취소/말소/만료/정지/중지,4,직권취소,02-2250-2002,서울특별시 중구 신당동 22번지,서울특별시 중구 마장로 22 (신당동),100889,패션몰 유어스,그 밖의 대규모점포,200999.3562,451654.4182,대규모점포
영업/정상,1,정상영업,02-2290-5853,서울특별시 용산구 용산동6가 69번지 167호,서울특별시 용산구 이촌로 352 (용산동6가),140026,롯데쇼핑(주)롯데슈퍼 신동아점,구분없음,198622.8926,446114.1552,준대규모점포
영업/정상,1,정상영업,02-793-9633,서울특별시 용산구 한남동 631번지 5호 허준빌딩,서울특별시 용산구 대사관로34길 26 허준빌딩 1층 (한남동),4402,롯데슈퍼 한남점(가맹점),구분없음,200431.1456,447763.4142,준대규모점포
영업/정상,1,정상영업,27135601,서울특별시 용산구 남영동 93번지 30호,서울특별시 한강대로77길 12,140807,롯데쇼핑(주)롯데market999갈월점,구분없음,197443.8818,448884.9576,준대규모점포
영업/정상,1,정상영업,27115602,,서울특별시 용산구 백범로 341 (원효로1가),140111,롯데쇼핑(주)롯데슈퍼원효로점,구분없음,197101.1275,448437.0679,준대규모점포
영업/정상,1,정상영업,,서울특별시 용산구 한강로1가 191호   ,서울특별시 용산구 한강로1가 191호   ,,국제센터아케이드,그 밖의 대규모점포,197646.514,447909.0707,
영업/정상,1,정상영업,02 7037091,서울특별시 용산구 한강로2가 413호   ,서울특별시 용산구 청파로 113-12 (한강로2가),,(주)전자타운,그 밖의 대규모점포,196775.6399,447984.6345,
영업/정상,1,정상영업,02  799 7114,서울특별시 용산구 한강로2가 191호,서울특별시 용산구 한강대로 92 (한강로2가),140702,LS Avenue,그 밖의 대규모점포,197099.3815,447328.5488,대규모점포
영업/정상,1,정상영업,02)718-7113,서울특별시 용산구 한강로2가 15번지 14호,서울특별시 용산구 새창로 181 (한강로2가 선인상가),4371,선인상가,전문점,196839.6417,447863.232,대규모점포
영업/정상,1,정상영업,02)794-0343,서울특별시 용산구 보광동 260번지 8호,서울특별시 용산구 보광로 30 (보광동),,보광시장,시장,199955.4297,447219.1616,
영업/정상,1,정상영업,02)714-0151,서울특별시 용산구 서계동 260번지 1호,서울특별시 용산구 효창원로 270 (서계동),140830,만리시장,시장,196716.1659,449892.5577,대규모점포
영업/정상,1,정상영업,02-3786-6352,서울특별시 용산구 이태원동 119번지 25호,서울특별시 용산구 이태원로 179 (이태원동),,해밀톤 쇼핑몰,쇼핑센터,199363.5958,448050.9263,대규모점포
영업/정상,1,정상영업,02  707 4628,서울특별시 용산구 한강로3가 16번지 9호,서울특별시 용산구 청파로 74 (한강로3가),,(주)에스와이에스홀딩스,전문점,196370.7464,447841.6988,대규모점포
영업/정상,1,정상영업,02)702-3411,서울특별시 용산구 원효로3가 51번지 30호,서울특별시 용산구 청파로 77 (원효로3가),140849,원효전자상가,전문점,196385.232,447938.1925,대규모점포
영업/정상,1,정상영업,02)795-7501,서울특별시 용산구 용산동6가 69번지 167호,서울특별시 용산구 이촌로 352 (용산동6가),,신동아 쇼핑센터,쇼핑센터,198622.8926,446114.1552,
영업/정상,1,정상영업,220772800,서울특별시 용산구 한강로2가 15번지 19호,서울특별시 용산구 청파로 122 (한강로2가),140012,(주)농협유통하나로클럽용산점,대형마트,196813.2585,447881.9708,대규모점포
영업/정상,1,정상영업,7037091,서울특별시 용산구 한강로2가 413호,서울특별시 용산구 청파로 113-12 (한강로2가),,전자타운,전문점,196775.6399,447984.6345,대규모점포
영업/정상,1,정상영업,02  794 5682,서울특별시 용산구 이태원동 56번지 9호,서울특별시 용산구 이태원로14길 6 (이태원동),,이태원시장,시장,199051.1588,447953.6017,대규모점포
폐업,3,폐업처리,02-796-8331,,서울특별시 용산구 한강대로 205 (한강로1가),140752,롯데마켓999 용산파크자이가맹점,구분없음,197514.1458,448264.3223,준대규모점포
영업/정상,1,정상영업,236758549,서울특별시 성북구 삼선동1가 21번지,서울특별시 성북구 삼선교로 6 (삼선동1가),136041,홈플러스익스프레스 삼선점,구분없음,200509.6605,453950.6409,
영업/정상,1,정상영업,2253-8542,서울특별시 성동구 금호동3가 1331번지,서울특별시 성동구 동호로 100 (금호동3가),133751,홈플러스(주) 익프스레스 금호2점,구분없음,201383.0237,449744.2805,
영업/정상,1,정상영업,3459-8000,서울특별시 성동구 왕십리2동 966번지 11호,서울특별시 성동구 왕십리로 333 (하왕십리동),133020,홈플러스(주) 익스프레스 왕십리점,구분없음,202806.0185,451160.356,
폐업,3,폐업처리,02  704 5858,서울특별시 용산구 한강로3가 40번지 969호,서울특별시 용산구 청파로20길 83 (한강로3가),140745,터미널전자상가,전문점,196610.6638,447742.3486,대규모점포
폐업,3,폐업처리,02)718-9555,서울특별시 용산구 산천동 202호,서울특별시 용산구 원효로 51 (산천동),,삼성테마트,그 밖의 대규모점포,195547.1403,447976.7759,대규모점포
영업/정상,1,정상영업,24644426,서울특별시 성동구 성수동2가 335번지,서울특별시 성동구 성수이로 32-15 (성수동2가),4776,뚝도시장,시장,204775.366,448395.5878,대규모점포
영업/정상,1,정상영업,02-499-8545,서울특별시 성동구 성수1가1동 14번지 17호,서울특별시 성동구 아차산로 41 (성수동1가),133111,홈플러스(주)익스프레스 뚝섬점,구분없음,204257.5849,449412.5441,
영업/정상,1,정상영업,02-2210-4100,서울특별시 성동구 용답동 234번지 한국자동차매매센터,서울특별시 성동구 자동차시장1길 70 (용답동 장안평중고자동차시장),4808,자동차매매센타,전문점,205784.8688,450883.524,대규모점포
영업/정상,1,정상영업,2297-2484,서울특별시 성동구 옥수동 220번지 1호 한남하이츠아파트,서울특별시 성동구 독서당로 160 한남하이츠아파트 (옥수동),4736,한남하이츠상가,그 밖의 대규모점포,201181.599,448609.5881,대규모점포
영업/정상,1,정상영업,02)2297-6205,서울특별시 성동구 행당동 347번지 행당동 대림아파트,서울특별시 성동구 행당로 87 행당동 대림아파트 (행당동),4713,대림리빙프라자,그 밖의 대규모점포,202326.503,450625.5842,대규모점포
영업/정상,1,정상영업,02-3408-1234,서울특별시 성동구 성수동2가 333번지 16호,서울특별시 뚝섬로 379,133120,(주)이마트 성수점,백화점,204614.2727,448607.4413,대규모점포
영업/정상,1,정상영업,02-464-2095,서울특별시 성동구 성수동2가 289번지 4호,서울특별시 성동구 아차산로7길 28 (성수동2가),,(주)인트램,그 밖의 대규모점포,204830.9773,449477.4485,대규모점포
영업/정상,1,정상영업,222936767,서울특별시 성동구 마장동 439번지 1호,서울특별시 성동구 마장로35길 68 (마장동),,토우마트마축일시장,그 밖의 대규모점포,203576.5947,452041.559,대규모점포
영업/정상,1,정상영업,2281-4446,서울특별시 성동구 마장동 510번지 3호 일대,서울특별시 성동구 마장로31길 40 (마장동일대),,마장축산물시장,시장,203323.7878,451940.2054,
영업/정상,1,정상영업,3395-9336,서울특별시 성동구 왕십리도선동 69번지,서울특별시 성동구 무학로6길 50 (도선동),,성동삼성쉐르빌상가,그 밖의 대규모점포,203017.0215,451346.2811,대규모점포
영업/정상,1,정상영업,02  22001234,서울특별시 성동구 행당동 168번지 1호,서울특별시 성동구 왕십리광장로 17 (행당동),133866,(주)이마트 왕십리점,대형마트,203292.1519,451267.7309,대규모점포
영업/정상,1,정상영업,02-2200-6000,서울특별시 성동구 행당동 168번지 151호 왕십리민자역사,서울특별시 성동구 왕십리광장로 17 왕십리민자역사 (행당동),4750,ENTER-6,그 밖의 대규모점포,203292.1519,451267.7309,대규모점포
영업/정상,1,정상영업,2282-0161,서울특별시 성동구 옥수동 191번지 3호,서울특별시 성동구 한림말길 56 (옥수동),133100,GS수퍼 성동옥수점,구분없음,201462.2513,448744.0381,준대규모점포
영업/정상,1,정상영업,22135635,서울특별시 성동구 용답동 49번지 5호,서울특별시 성동구 용답동 49번지 5호,,성동용답상가시장,시장,204566.0464,451260.9331,대규모점포
영업/정상,1,정상영업,2207-9991 6454-6301,,서울특별시 성동구 왕십리로 241 (행당동),133866,파크에비뉴 엔터식스 한양대점,복합쇼핑몰,203523,450411,대규모점포
영업/정상,1,정상영업,02-380-9842,서울특별시 성동구 행당동 155번지 1호 서울숲 더샵,서울특별시 성동구 왕십리로 241 (행당동 서울숲 더샵),4765,노브랜드 엔터식스한양대점,구분없음,203477.9054,450542.4544,준대규모점포
폐업,3,폐업처리,2291-6754,서울특별시 성동구 금호동1가 128번지 1호,서울특별시 성동구 행당로 35 (금호동1가),,금북시장,그 밖의 대규모점포,202004.4523,450411.4636,대규모점포
폐업,3,폐업처리,2297-3811,서울특별시 성동구 금호동4가 548번지 1호,서울특별시 성동구 독서당로 302 (금호동4가),,금호종합시장,그 밖의 대규모점포,201924.2874,449505.4332,대규모점포
폐업,3,폐업처리,2249-8957,서울특별시 성동구 용답동 49번지 5호,,,용답동상가번영회,시장,204566.0464,451260.9331,대규모점포
폐업,3,폐업처리,2,서울특별시 성동구 성수1가1동 72번지 91호,서울특별시 성동구 뚝섬로 345 (성수동1가),,홈플러스(주)익스프레스 성수점,구분없음,204271.5152,448744.2458,준대규모점포
취소/말소/만료/정지/중지,4,직권취소,463-7547~8,서울특별시 성동구 성수동2가 231번지 1호,,,성동마트,그 밖의 대규모점포,205260.8277,448399.9487,대규모점포
영업/정상,1,정상영업,02-3437-5601,서울특별시 광진구 구의2동 49번지 4호,서울특별시 광진구 자양로 293 (구의동),143817,롯데쇼핑(주)롯데슈퍼 아차산점,그 밖의 대규모점포,208075.5435,449971.642,준대규모점포
영업/정상,1,정상영업,02-458-8545,서울특별시 광진구 구의3동 212번지 2호,서울특별시 광진구 아차산로 473 (구의동),143822,홈플러스익스프레스 구의2점,그 밖의 대규모점포,208261.7488,448701.6585,준대규모점포
